model_name_or_path,datasets
CoffeeAddict93/gpt2-medium-call-of-the-wild,
CoffeeAddict93/gpt2-medium-modest-proposal,
ComCom/gpt2-medium,
DeepESP/gpt2-spanish-medium,['ebooks']
Finnish-NLP/gpt2-medium-finnish,"['Finnish-NLP/mc4_fi_cleaned', 'wikipedia']"
aadelucia/GPT2_medium_narrative_finetuned_large,
aadelucia/GPT2_medium_narrative_finetuned_medium,
albertbn/gpt2-medium-finetuned-ads-fp16-blocksz512,
byeongal/gpt2-medium,
congcongwang/gpt2_medium_fine_tuned_coder,
cwh/gpt2-medium-finetuned-wikitext2,
jaron-maene/gpt2-medium-nl2bash,
jmamou/gpt2-medium-IMDB,
jmamou/gpt2-medium-SST-2,
jshu/gpt2-medium-ontapdoc-gen-2,
ktrapeznikov/gpt2-medium-topic-news-v2,
ktrapeznikov/gpt2-medium-topic-news,
ktrapeznikov/gpt2-medium-topic-small-set,
lagodw/plotly_gpt2_medium,
lvwerra/gpt2-medium-taboo,
miguelvictor/python-gpt2-medium,
ml6team/gpt-2-medium-conditional-quote-generator,
ml6team/gpt2-medium-dutch-finetune-oscar,
ml6team/gpt2-medium-german-finetune-oscar,
pszemraj/gpt2-medium-vaguely-human-dialogue,
stanford-crfm/arwen-gpt2-medium-x21,
stanford-crfm/beren-gpt2-medium-x49,
stanford-crfm/celebrimbor-gpt2-medium-x81,
stanford-crfm/durin-gpt2-medium-x343,
stanford-crfm/eowyn-gpt2-medium-x777,
Graphcore/gpt2-medium-wikitext-103,['wikitext']
blinoff/ru-gpt2-medium-rdf-2-text,
agi-css/gpt2-medium,
rmihaylov/gpt2-medium-bg,"['oscar', 'chitanka', 'wikipedia']"
Dizzykong/gpt2-medium-commands,
Dizzykong/gpt2-medium-commands-chunked,
Dizzykong/gpt2-medium-chunked-eos,
Dizzykong/gpt2-medium-final,
Dizzykong/gpt2-medium-recipes,
jppaolim/v48_GPT2Medium_PT,
anas-awadalla/gpt2-medium-span-head-finetuned-squad,['squad']
anas-awadalla/gpt2-medium-span-head-few-shot-k-16-finetuned-squad-seed-0,
anas-awadalla/gpt2-medium-span-head-few-shot-k-16-finetuned-squad-seed-2,
anas-awadalla/gpt2-medium-span-head-few-shot-k-16-finetuned-squad-seed-4,
anas-awadalla/gpt2-medium-span-head-few-shot-k-32-finetuned-squad-seed-0,
anas-awadalla/gpt2-medium-span-head-few-shot-k-32-finetuned-squad-seed-2,
anas-awadalla/gpt2-medium-span-head-few-shot-k-32-finetuned-squad-seed-4,
anas-awadalla/gpt2-medium-span-head-few-shot-k-64-finetuned-squad-seed-0,
anas-awadalla/gpt2-medium-span-head-few-shot-k-64-finetuned-squad-seed-2,
anas-awadalla/gpt2-medium-span-head-few-shot-k-64-finetuned-squad-seed-4,
anas-awadalla/gpt2-medium-span-head-few-shot-k-128-finetuned-squad-seed-0,
anas-awadalla/gpt2-medium-span-head-few-shot-k-128-finetuned-squad-seed-2,
anas-awadalla/gpt2-medium-span-head-few-shot-k-128-finetuned-squad-seed-4,
anas-awadalla/gpt2-medium-span-head-few-shot-k-256-finetuned-squad-seed-0,
anas-awadalla/gpt2-medium-span-head-few-shot-k-256-finetuned-squad-seed-2,
anas-awadalla/gpt2-medium-span-head-few-shot-k-256-finetuned-squad-seed-4,
anas-awadalla/gpt2-medium-span-head-few-shot-k-512-finetuned-squad-seed-0,
postbot/gpt2-medium-emailgen,"['aeslc', 'postbot/multi-emails-100k']"
geinitz/gpt2-medium-hemingway,
SWQ/gpt2-medium-combine,
SWQ/gpt2-medium-new,
SRM47/gpt2-medium-paraphraser,
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.05,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.2,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.5,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.8,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.01,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.05_pretrainedFalse,['sst2']
Ar4ikov/gpt2-medium-stable-diffusion-prompt-generator,
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.0_pretrainedFalse,['sst2']
Ar4ikov/gpt2-medium-2-stable-diffusion-prompt-generator,
Ar4ikov/gpt2-medium-650k-stable-diffusion-prompt-generator,
anas-awadalla/gpt-2-medium-squad,
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.2_pretrainedFalse,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.5_pretrainedFalse,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.001_pretrainedTrue,
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.0001_pretrainedTrue,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.0005_pretrainedTrue,['sst2']
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.8_pretrainedFalse,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.0_pretrainedFalse_epochs30,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.001_pretrainedTrue_epochs3,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.0001_pretrainedTrue_epochs3,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.0001_pretrainedTrue_epochs1,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.001_pretrainedTrue_epochs1,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.01_pretrainedTrue_epochs1,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.1_pretrainedTrue_epochs1,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.01_pretrainedFalse_epochs10,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.1_pretrainedFalse_epochs10,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.001_pretrainedTrue_epochs2,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.01_pretrainedFalse_epochs3,['sst2']
jhaochenz/finetuned_gpt2-medium_sst2_negation0.01_pretrainedFalse_epochs6,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.01_pretrainedFalse_epochs1,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.001_pretrainedFalse_epochs1,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.0001_pretrainedFalse_epochs3,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.001_pretrainedFalse_epochs3,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.0001_pretrainedFalse_epochs1,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.0001_pretrained0_epochs3,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.01_pretrainedFalse_epochs30,
yuhuizhang/finetuned_gpt2-medium_sst2_negation0.2_pretrainedFalse_epochs30,
jhaochenz/finetuned_gpt2-medium_sst2_negation0.03_pretrainedFalse_epochs30,
piyusharma/gpt2-medium-lex,
ChaiML/gpt2_medium_retry_and_continue_12m_reward_model,
aaaacash/AITA-GPT2-medium,
michelecafagna26/gpt2-medium-finetuned-sst2-sentiment,['sst2']
downmoney/gpt2-medium-finetuned-wikitext2,
edbeeching/gpt2-medium-imdb,['imdb']
liujqian/gpt2-medium-finetuned-commongen,
usamakenway/Stable-diffusion-prompt-generator-gpt2-medium,
nobono/gpt2_medium_model_2,
nobono/gpt2_medium_basic_lg_checkpoint,
rwl4/gpt2-medium-chat,['tatsu-lab/alpaca']
egonrp/gpt2-medium-squadv11-portuguese,"['squad', 'squad_v1_pt']"
sgolkar/gpt2-medium-finetuned-brookstraining,
linkanjarad/GPT2-Medium-Alpaca-355m,['tatsu-lab/alpaca']
CSerdar014191/gpt2-medium_test06_tuner,
ibm/gpt2-medium-multiexit,['cc100']
LyaaaaaGames/gpt2-medium,
grenlayk/gpt2-medium-socialiqa,
Locutusque/gpt2-medium-conversational,"['Locutusque/ColumnedChatCombined', 'tatsu-lab/alpaca']"
kkhan/gpt2-medium-iba-txt,
kkhan/gpt2-medium-iba-faq,
BlueSunflower/gpt2-medium-chess,
p208p2002/gpt2-medium-babi,['facebook/babi_qa']
fiveflow/gpt2-medium-gsm8k,
fiveflow/gpt2-medium-sat,
cackerman/gpt2-medium_nli,
cackerman/gpt2-medium_triviaqa,
tum-nlp/gpt-2-medium-target-aware-counterspeech-generation,
cackerman/gpt2-medium_trained_triviaqa,
KennethTM/gpt2-medium-danish,['oscar']
George-Ogden/gpt2-medium-finetuned-mnli,
ckandemir/gpt2-medium-finetuned-contract-gen,
samaksh-khatri/gmra_model_gpt2-medium_14082023T134929,
samaksh-khatri/gmra_model_gpt2-medium_14082023T183423,
samaksh-khatri/gmra_model_gpt2-medium_15082023T113143,
samaksh-khatri/gmra_model_gpt2-medium_15082023T162956,
kimsan0622/gpt2-medium,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-2e-05-wd-0.01,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-0.0001-wd-0.1,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-0.0001-wd-0.0,
aman-mehra/gpt2-medium-finetune-squad-ep-2.0-lr-2e-05-wd-0.0,
KennethTM/gpt2-medium-danish-review-response,
sharoz/gpt2-medium-custom-functions-dataset-python,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-2e-06-wd-0.01,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-1e-05-wd-0.01,
aman-mehra/gpt2-medium-finetune-squad-ep-0.5-lr-0.0001-wd-0.0001,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-1e-06-wd-0.0001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.5-lr-1e-05-wd-0.0001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-1e-05-wd-0.0001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-1e-05-wd-0.001,
thrunlab/gpt2-medium_gated,
aman-mehra/gpt2-medium-finetune-squad-ep-0.1-lr-1e-05-wd-0.0001,
aman-mehra/gpt2-medium-finetune-squad-ep-1.0-lr-2e-05-wd-0.0,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-0.0003-wd-0.001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.1-lr-0.0003-wd-0.001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.1-lr-0.0003-wd-0.01,
aman-mehra/gpt2-medium-finetune-squad-ep-0.05-lr-0.0001-wd-0.001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.1-lr-1e-07-wd-0.001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.2-lr-1e-07-wd-0.001,
aman-mehra/gpt2-medium-finetune-squad-ep-0.5-lr-1e-07-wd-0.001,
thrunlab/gpt2-medium,
thrunlab/gpt2-medium_gated_freeze,
thrunlab/gpt2-medium_oracle,
aman-mehra/gpt2-medium-finetune-squad-ep-0.1-lr-2e-06-wd-0.0001-glb_sd-1-reorder,
